diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2],ray[mm2]
1.15,273.14999999999998,31.228381041666665,0.92972595237084443,0.00068085881921716037,0.026394235662372145,0.00069197990065790753
1.16,273.14999999999998,31.228381041666665,0.92972595237084443,0.00071689603259073021,0.027303767948402294,0.00072887721346566459
1.17,273.14999999999998,31.228381041666665,0.92972595237084443,0.00075450835904331773,0.02823946906773598,0.00076739967055370738
1.18,273.14999999999998,31.228381041666665,0.92972595237084443,0.0007937516127334795,0.029201989383681005,0.00080760403807438876
1.19,273.14999999999998,31.228381041666665,0.92972595237084443,0.00083468226736002475,0.030191992953951134,0.00084954855649829459
1.2,273.14999999999998,31.228381041666665,0.92972595237084443,0.00087735915309320291,0.031210156343468985,0.00089329296592335352
1.21,273.14999999999998,31.228381041666665,0.92972595237084443,0.00092184264303348516,0.032257173147823483,0.00093889853159933819
1.22,273.14999999999998,31.228381041666665,0.92972595237084443,0.00096819436755129281,0.033333751206331953,0.00098642806966776409
1.23,273.14999999999998,31.228381041666665,0.92972595237084443,0.0010164782775168107,0.034440612051890161,0.0010359459731171853
1.24,273.14999999999998,31.228381041666665,0.92972595237084443,0.0010667596480040148,0.03557849561856239,0.0010875182379538875
1.25,273.14999999999998,31.228381041666665,0.92972595237084443,0.0011191062251883507,0.036748156179932726,0.0011412124895879762
1.26,273.14999999999998,31.228381041666665,0.92972595237084443,0.0011735869347960736,0.037950365926988479,0.0011970980094348632
1.27,273.14999999999998,31.228381041666665,0.92972595237084443,0.0012302728803940399,0.039185907150462447,0.0012552457617321475
1.28,273.14999999999998,31.228381041666665,0.92972595237084443,0.0012892378658607827,0.040455585763011184,0.0013157284205718956
1.29,273.14999999999998,31.228381041666665,0.92972595237084443,0.0013505567616079741,0.041760221230791962,0.0013786203971483167
1.3,273.14999999999998,31.228381041666665,0.92972595237084443,0.0014143072316279289,0.043100648315994458,0.0014439978672208351
1.31,273.14999999999998,31.228381041666665,0.92972595237084443,0.0014805691891913867,0.044477721905893691,0.0015119387987925581
1.32,273.14999999999998,31.228381041666665,0.92972595237084443,0.0015494241740286322,0.045892313917704167,0.001582522980004143
