{'elevation': 90.0, 'canting': 10.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'K2': 0.9287969731779052, 'frequency': 9.6, 'n': (7.799630675745488+2.423234751141455j), 'wl': 31.22838104166667, 'prefactor': 0.00029886308515174494}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.6,1.379932352692672e-05,1.379932352692672e-05,0.0019999204701737295,1.394375610083981e-05,0.0,1.0
0.61,1.5232652061046331e-05,1.5232652061046326e-05,0.002114353464824552,1.539753802970132e-05,0.0,1.0
0.62,1.6787660800341173e-05,1.6787660800341173e-05,0.002233714491868163,1.6975493643980164e-05,0.0,1.0
0.63,1.847244200108934e-05,1.847244200108934e-05,0.002358162914764393,1.868596676467368e-05,0.0,1.0
0.64,2.0295469752458457e-05,2.0295469752458457e-05,0.0024878620754113603,2.053771482733453e-05,7.759654180984333e-19,1.0
0.65,2.2265627585866672e-05,2.2265627585866675e-05,0.0026229803266224747,2.2539922330909515e-05,-7.759654180984333e-19,1.0
0.66,2.4392218259974726e-05,2.4392218259974726e-05,0.0027636896297232095,2.4702214501759886e-05,3.8798270904921667e-19,1.0
0.67,2.668497265140843e-05,2.668497265140843e-05,0.0029101677515861626,2.703467117286294e-05,3.8798270904921667e-19,1.0
0.68,2.9154053970262994e-05,2.9154053970262994e-05,0.0030625960681943563,2.9547840878195186e-05,-3.8798270904921667e-19,1.0
0.6900000000000001,3.181008541524307e-05,3.181008541524307e-05,0.003221161682105498,3.225275516229681e-05,0.0,1.0
0.7000000000000001,3.480475232579099e-05,3.4804752325790974e-05,0.0033953953214379807,3.516094310501766e-05,0.0,0.9944380500000001
0.7100000000000001,3.789829605816485e-05,3.789829605816485e-05,0.0035682868186318155,3.828444606144455e-05,-2.3278962542953e-18,0.9938143084150001
0.72,4.1216520553738766e-05,4.121652055373876e-05,0.003747942359555909,4.163583261701006e-05,-3.8798270904921667e-19,0.9932232806400001
0.73,4.477213940456798e-05,4.477213940456798e-05,0.003934567034997132,4.522821375778284e-05,1.16394812714765e-18,0.9926640306150001
0.74,4.85784151022192e-05,4.857841510221918e-05,0.004128370883337634,4.907525825593905e-05,0.0,0.9921356202399999
0.75,5.264911779870359e-05,5.264911779870357e-05,0.004329570252217136,5.319120827041554e-05,1.5519308361968667e-18,0.991637109375
